0 		 80245 		    80245   0.33188
1 		 30009 		    110254   0.455993
2 		 21613 		    131867   0.54538
3 		 14905 		    146772   0.607025
4 		 24666 		    171438   0.70904
5 		 7819 		    179257   0.741378
6 		 5775 		    185032   0.765262
7 		 5049 		    190081   0.786144
8 		 4041 		    194122   0.802857
9 		 3516 		    197638   0.817399
10 		 3014 		    200652   0.829864
11 		 2681 		    203333   0.840952
12 		 2370 		    205703   0.850754
13 		 1943 		    207646   0.85879
14 		 2022 		    209668   0.867153
15 		 1762 		    211430   0.87444
16 		 1584 		    213014   0.880991
17 		 1451 		    214465   0.886992
18 		 1152 		    215617   0.891757
19 		 1028 		    216645   0.896009
20 		 1049 		    217694   0.900347
21 		 835 		    218529   0.9038
22 		 856 		    219385   0.907341
23 		 756 		    220141   0.910467
24 		 871 		    221012   0.91407
25 		 705 		    221717   0.916985
26 		 672 		    222389   0.919765
27 		 686 		    223075   0.922602
28 		 613 		    223688   0.925137
29 		 493 		    224181   0.927176
30 		 483 		    224664   0.929174
31 		 490 		    225154   0.9312
32 		 514 		    225668   0.933326
33 		 408 		    226076   0.935014
34 		 373 		    226449   0.936556
35 		 383 		    226832   0.93814
36 		 381 		    227213   0.939716
37 		 309 		    227522   0.940994
38 		 292 		    227814   0.942202
39 		 298 		    228112   0.943434
40 		 352 		    228464   0.94489
41 		 279 		    228743   0.946044
42 		 279 		    229022   0.947198
43 		 243 		    229265   0.948203
44 		 301 		    229566   0.949448
45 		 228 		    229794   0.950391
46 		 227 		    230021   0.951329
47 		 232 		    230253   0.952289
48 		 274 		    230527   0.953422
49 		 195 		    230722   0.954229
50 		 180 		    230902   0.954973
51 		 194 		    231096   0.955775
52 		 223 		    231319   0.956698
53 		 153 		    231472   0.957331
54 		 180 		    231652   0.958075
55 		 153 		    231805   0.958708
56 		 169 		    231974   0.959407
57 		 166 		    232140   0.960093
58 		 235 		    232375   0.961065
59 		 125 		    232500   0.961582
60 		 151 		    232651   0.962207
61 		 155 		    232806   0.962848
62 		 127 		    232933   0.963373
63 		 93 		    233026   0.963758
64 		 124 		    233150   0.964271
65 		 118 		    233268   0.964759
66 		 140 		    233408   0.965338
67 		 108 		    233516   0.965784
68 		 148 		    233664   0.966396
69 		 100 		    233764   0.96681
70 		 116 		    233880   0.96729
71 		 86 		    233966   0.967645
72 		 105 		    234071   0.96808
